"Order ID","Order Date","Order Status","Customer Name","Order Total","Order Shipping","Payment Gateway","Shipping Method","Shipping Address Line 1","Shipping Address Line 2","Shipping Zip/Postcode","Billing Phone Number",_transaction_id,"Product Name","Quantity of items purchased","Item price EXCL. tax"
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"PANE MICHETTE 500 g",1,3
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"BROCCOLI STICCOLI 500 g",1,2.2
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"CICORIA MILANO 500 g",1,1
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"CIPOLLE DORATE 500 g",1,0.8
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"CLEMENTINE 1 Kg",1,2
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"COSTE 300 g",1,1
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"CRAUTO ROSSO 2 Kg",1,3
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"FINOCCHI QUALITA' EXTRA 1 Kg",1,2.5
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"MELANZANE 1 Kg",1,2
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"UVA ROSSA SENZA SEMI 1 Kg",1,3
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"ZUCCHINE 500 g",2,3
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"GRANA PADANO DOP BOCCONCINI 200 g",1,2.2
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"RASPADURA LODIGIANA BIO 120 g",1,2
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"RICOTTA DI CAPRA 300 g",1,3.5
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"TRONCHETTO VACCINO 300 g",1,4.5
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"FETTINE DI LONZA DI SUINO 500 g",1,4
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"SALSICCIA DI SUINO 500 g",1,4.5
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"UOVA ALLEVAMENTO ALL'APERTO",1,2.4
6855,2020/11/17,processing,"SUBJECT 1","54,10",5,Contrassegno,flat_rate:1,"Via Address 1","Scala B 5 piano",20141,+393380000000,,"CACHI 800 g (3 pz.)",1,2.5
6854,2020/11/17,processing,"SUBJECT 2","41,50",0,Contrassegno,local_pickup:2,"Via Address 2",,20128,3290000000,,"ARROSTICINI DI SUINO 300 g",1,5
